Unnamed: 0,city,actual_latitude,alt_latitude,initial_answer,gt_answer,logprob_a,logprob_b,logits_a,logits_b,confidence_a,confidence_b,predicted_label,initial_binary_correctness,other_llm_answer,other_llm_answer_type,second_answer,change_of_mind,second_turn_predicted_label,second_turn_binary_correctness,second_turn_confidence_a,second_turn_confidence_b,final_answer,final_logprob_a,final_logprob_b,final_logits_a,final_logits_b,other_llm_accuracy,initial_answer_display
0,Ban Pa Sak,16.8,25.3,b,a,-0.5546875,-1.3046875,27.375,26.625,0.55657494,0.4434251,1,0,a,Opposite,b,0,1,0,0.114512525,0.88548744,b,-6.75,0.0,36.75,43.5,50,shown
1,The Nation / La Nation,45.4,68.0,b,b,-3.546875,-0.0458984375,26.625,30.125,0.25719368,0.7428064,1,1,a,Opposite,b,0,1,1,0.07855667,0.9214433,b,-8.125,0.0,31.875,40.0,50,shown
2,Mealhada,40.4,20.2,a,a,-0.023193359375,-6.03125,28.125,22.125,0.8603478,0.13965222,0,1,b,Opposite,a,0,0,1,0.9467878,0.053212162,a,0.0,-9.5,36.75,27.25,50,shown
3,Lower Pottsgrove,40.3,20.1,b,b,-7.875,-0.007781982421875,21.625,29.5,0.08421848,0.9157815,1,1,a,Opposite,b,0,1,1,0.037055604,0.9629444,b,-10.75,0.0,27.25,38.0,50,shown
4,Bayugan,8.7,4.4,a,b,-0.15234375,-2.28125,27.0,24.875,0.65564334,0.34435666,0,0,b,Opposite,a,0,0,0,0.93173397,0.06826597,a,0.0,-8.625,36.5,27.875,50,shown
5,Castel Volturno,41.0,20.5,a,a,-0.023193359375,-6.40625,28.5,22.125,0.8734506,0.12654945,0,1,b,Opposite,a,0,0,1,0.95392454,0.046075508,a,0.0,-10.0,37.0,27.0,50,shown
6,Zdzieszowice,50.4,25.2,a,a,-0.038330078125,-6.40625,28.875,22.5,0.87345046,0.1265495,0,1,b,Opposite,a,0,0,1,0.92928493,0.07071505,a,0.0,-8.5,37.0,28.5,50,shown
7,Tortolì,39.9,59.9,a,a,-1.03125,-7.90625,26.625,19.75,0.8892727,0.110727295,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,35.0,26.75,50,shown
8,Svobodnyy,51.4,25.7,b,a,-6.375,-0.0155029296875,20.75,27.125,0.1265495,0.87345046,1,0,a,Opposite,b,0,1,0,0.093407035,0.906593,b,-7.5,0.0,33.25,40.75,50,shown
9,Paraibuna,-23.4,-35.1,b,b,-4.65625,-0.023193359375,24.875,29.5,0.19757582,0.8024242,1,1,a,Opposite,b,0,1,1,0.13965228,0.86034775,b,-6.0,0.0,39.75,45.75,50,shown
10,Los Alamos,35.9,53.8,b,b,-8.125,-0.007781982421875,21.375,29.5,0.07855663,0.9214433,1,1,a,Opposite,b,0,1,1,0.041330766,0.95866925,b,-10.375,0.0,25.375,35.75,50,shown
11,Tocaima,4.5,2.2,b,a,-3.78125,-0.038330078125,27.0,30.75,0.24298856,0.7570114,1,0,a,Opposite,b,0,1,0,0.122421436,0.8775786,b,-6.5,0.0,32.75,39.25,50,shown
12,Santa Barbara,16.0,8.0,b,a,-4.875,-0.0155029296875,22.5,27.375,0.18583968,0.81416035,1,0,a,Opposite,b,0,1,0,0.09666439,0.9033356,b,-7.375,0.0,31.125,38.5,50,shown
13,Zamalkā,33.5,50.3,b,b,-7.5,-0.007781982421875,21.125,28.625,0.093407035,0.906593,1,1,a,Opposite,b,0,1,1,0.063602105,0.93639785,b,-8.875,0.0,31.625,40.5,50,shown
14,Qādiān,31.8,47.7,b,b,-7.5,-0.0155029296875,20.625,28.125,0.093407035,0.906593,1,1,a,Opposite,b,0,1,1,0.0658957,0.9341043,b,-8.75,0.0,30.0,38.75,50,shown
